U(k),U(k-1),U(k-2),U(k-3),Y(k),Y(k-1),Y(k-2),Y(k-3)
0.994823729,0.623012211,-0.32159386,-0.97052802,0.616363652,0.803226894,0.814896253,0.655255577
0.451998898,0.994823729,0.623012211,-0.32159386,0.433225266,0.616363652,0.803226894,0.814896253
-0.506391635,0.451998898,0.994823729,0.623012211,0.435529446,0.433225266,0.616363652,0.803226894
-0.999208034,-0.506391635,0.451998898,0.994823729,0.598722579,0.435529446,0.433225266,0.616363652
-0.573357175,-0.999208034,-0.506391635,0.451998898,0.781922508,0.598722579,0.435529446,0.433225266
0.379635627,-0.573357175,-0.999208034,-0.506391635,0.828107691,0.781922508,0.598722579,0.435529446
0.983593184,0.379635627,-0.573357175,-0.999208034,0.679021334,0.828107691,0.781922508,0.598722579
0.683239704,0.983593184,0.379635627,-0.573357175,0.471317018,0.679021334,0.828107691,0.781922508
-0.245281209,0.683239704,0.983593184,0.379635627,0.413370965,0.471317018,0.679021334,0.828107691
-0.94829171,-0.245281209,0.683239704,0.983593184,0.544039767,0.413370965,0.471317018,0.679021334
-0.779447185,-0.94829171,-0.245281209,0.683239704,0.73727743,0.544039767,0.413370965,0.471317018
0.106017486,-0.779447185,-0.94829171,-0.245281209,0.835951831,0.73727743,0.544039767,0.413370965
0.89401017,0.106017486,-0.779447185,-0.94829171,0.736373896,0.835951831,0.73727743,0.544039767
0.860054026,0.89401017,0.106017486,-0.779447185,0.522723283,0.736373896,0.835951831,0.73727743
0.035368177,0.860054026,0.89401017,0.106017486,0.407543975,0.522723283,0.736373896,0.835951831
-0.821835011,0.035368177,0.860054026,0.89401017,0.494388171,0.407543975,0.522723283,0.736373896
-0.92344688,-0.821835011,0.035368177,0.860054026,0.684858962,0.494388171,0.407543975,0.522723283
-0.176045946,-0.92344688,-0.821835011,0.035368177,0.826544066,0.684858962,0.494388171,0.407543975
0.733210819,-0.176045946,-0.92344688,-0.821835011,0.783598489,0.826544066,0.684858962,0.494388171
0.968356938,0.733210819,-0.176045946,-0.92344688,0.58279029,0.783598489,0.826544066,0.684858962
0.313200155,0.968356938,0.733210819,-0.176045946,0.419588595,0.58279029,0.783598489,0.826544066
-0.629911407,0.313200155,0.968356938,0.733210819,0.452991543,0.419588595,0.58279029,0.783598489
-0.993885326,-0.629911407,0.313200155,0.968356938,0.628737342,0.452991543,0.419588595,0.58279029
-0.44408566,-0.993885326,-0.629911407,0.313200155,0.801116721,0.628737342,0.452991543,0.419588595
0.514004314,-0.44408566,-0.993885326,-0.629911407,0.816937879,0.801116721,0.628737342,0.452991543
0.999521092,0.514004314,-0.44408566,-0.993885326,0.646055528,0.816937879,0.801116721,0.628737342
0.566082788,0.999521092,0.514004314,-0.44408566,0.449177289,0.646055528,0.816937879,0.801116721
-0.387809421,0.566082788,0.999521092,0.514004314,0.423269504,0.449177289,0.646055528,0.816937879
-0.985151436,-0.387809421,0.566082788,0.999521092,0.572662588,0.423269504,0.449177289,0.646055528
-0.676749765,-0.985151436,-0.387809421,0.566082788,0.762222293,0.572662588,0.423269504,0.449177289
0.25385252,-0.676749765,-0.985151436,-0.387809421,0.833953358,0.762222293,0.572662588,0.423269504
0.951063968,0.25385252,-0.676749765,-0.985151436,0.706880374,0.833953358,0.762222293,0.572662588
0.77387159,0.951063968,0.25385252,-0.676749765,0.494012846,0.706880374,0.833953358,0.762222293
